,PERSON_ID,Q1_FGA,Q4_FGA,Q1_FG_PCT,Q4_FG_PCT,CD_2ft_FGA,CD_4ft_FGA,CD_6ft_FGA,CD_open_FGA,CD_2ft_FG_PCT,CD_4ft_FG_PCT,CD_6ft_FG_PCT,CD_open_FG_PCT,Drib_0_FGA,Drib_1_FGA,Drib_2_FGA,Drib_3_FGA,Drib_7_FGA,Drib_0_FG_PCT,Drib_1_FG_PCT,Drib_2_FG_PCT,Drib_3_FG_PCT,Drib_7_FG_PCT,SC_24_FGA,SC_22_FGA,SC_18_FGA,SC_15_FGA,SC_7_FGA,SC_4_FGA,SC_0_FGA,SC_24_FG_PCT,SC_22_FG_PCT,SC_18_FG_PCT,SC_15_FG_PCT,SC_7_FG_PCT,SC_4_FG_PCT,SC_0_FG_PCT,TT_2_FGA,TT_6_FGA,TT_long_FGA,TT_2_FG_PCT,TT_6_FG_PCT,TT_long_FG_PCT
PERSON_ID,1.0,-0.2751673787675374,-0.1423953619902821,-0.16535658845212942,-0.099515652147262,-0.21685391823650452,-0.2930826596997055,-0.2912547105337397,-0.20053969979494227,-0.14285348685584426,-0.1606793856675932,-0.15128592909105087,-0.09351351740534267,-0.2905144959668435,-0.20636544203153223,-0.22062247894257667,-0.19347418177562903,-0.1217498890136127,-0.18696107005996354,-0.09939422920354563,-0.07130607792478269,-0.06348933770048625,-0.12831560263325056,-0.18621623263254602,-0.1973116423529096,-0.26911987269986803,-0.2988599526544037,-0.27314597194330364,-0.24897912461033292,-0.1888931194230167,0.07785929764343907,-0.15647660888958093,-0.13633151614682912,-0.23597578168730715,-0.1664370778242385,-0.1749160258626765,0.06268084451520155,-0.29882522826801805,-0.2202608485006931,-0.1437412465637717,-0.20266202030846434,-0.1451380695541756,-0.07279392083170161
Q1_FGA,-0.2751673787675374,1.0,0.6403908901554906,0.3060170302982064,0.12709440507645736,0.7901315308604756,0.8782417156137806,0.7916736575309935,0.5963792113218026,0.2799712243578559,0.20142102115328878,0.2013415554712458,0.26321919873251415,0.6939633363726152,0.7995881482408107,0.7955971582361102,0.6438956019559382,0.4225695706116754,0.30729894100397775,0.13105550483646733,0.12843805779543277,0.23527367308478878,0.08866345082303895,0.5757289913398383,0.6554258823558646,0.8078830542825836,0.9093521605658162,0.7779142780229622,0.6583201980863029,0.5640266892931938,0.07360183240832865,0.1862532528393972,0.21010216957047528,0.31392454721678786,0.205003268175604,0.14065744019181764,0.019803328338741596,0.7227144176055039,0.810888301943923,0.5048224161698359,0.3295753402495689,0.2652472472009971,0.20289227698831705
Q4_FGA,-0.1423953619902821,0.6403908901554906,1.0,0.14507233027851765,0.1101238115885228,0.6625190970250955,0.8013273483264551,0.8092794324049767,0.48319618557850896,0.13333398375332403,0.06764758961731053,0.03129266203628021,0.1315209787722255,0.4027122869725593,0.6497587578015322,0.7474556606249545,0.7813662811312738,0.5987799372861123,0.11885285466795026,0.05887875448416358,0.15436498216887623,0.2310190673962176,0.09025093083884662,0.27598111082873406,0.7088226775563213,0.7934556757571977,0.7948573705592569,0.70563852094342,0.6268067938262368,0.6770760237581168,0.07759866827585528,0.058729588524249546,0.04670841927463324,0.13744044168228314,0.15632958397433186,0.01567214951623394,0.04569201480512209,0.4398902724730021,0.847676188912428,0.6538592910573233,0.1417378588706401,0.26483105633533,0.1960652086515446
Q1_FG_PCT,-0.16535658845212942,0.3060170302982064,0.14507233027851765,1.0,0.2665854039413984,0.34917372551175885,0.3267068262700306,0.17427542357525233,0.14213225857702438,0.515059884982274,0.41719213699402313,0.44466069909814554,0.42235529644333625,0.3289624965997087,0.30153505753782517,0.2130624026378439,0.13966659864765438,0.04880127918637403,0.4985119095050559,0.2829736353495207,0.32280467600987617,0.3746043937495259,0.029510853641319265,0.3908511258679015,0.18338541794156157,0.20698507425889864,0.3077778311406882,0.2553791113478718,0.19458038337363906,0.10045439470119108,0.21310048538250317,0.37586879639237636,0.36601313377258216,0.5185734754022097,0.41574379318119964,0.26096834063978763,0.21853275117167725,0.3270274159991098,0.22503425334554025,0.08380954254131553,0.5542266875017025,0.41360342771671044,0.12163041012268803
Q4_FG_PCT,-0.099515652147262,0.12709440507645736,0.1101238115885228,0.2665854039413984,1.0,0.31437335203338374,0.19893025918490223,-0.009699362196303433,-0.07220883920272435,0.4011959528280538,0.616312978074399,0.6028255183233328,0.4057168338251544,0.18702773548170595,0.1545311248802775,0.062442286595256545,0.04782060817910276,-0.007457195737241169,0.6407720828128962,0.41359942409927614,0.12374927458526296,0.33073705431369943,0.1282252012355629,0.4086104878866993,0.027005640583771015,0.09856290925232486,0.1339584104695748,0.08090890132110512,0.09228027752659732,0.04090845661474763,0.3003909641336328,0.5732734414323815,0.4138579862312079,0.6266922364638672,0.44854741770718326,0.22280565123981455,0.3490050530737614,0.15587279990884984,0.11102822676166132,0.022021132661257364,0.6581395865234057,0.4085361835539743,0.20124208652832282
CD_2ft_FGA,-0.21685391823650452,0.7901315308604756,0.6625190970250955,0.34917372551175885,0.31437335203338374,1.0,0.8302836264758848,0.5509157417736977,0.3530368993176672,0.3237456666986264,0.3843441218686196,0.2960820105627221,0.22656025290022067,0.5499115184107988,0.7489181351757654,0.7342414940535029,0.6265633909502862,0.40901970284590816,0.4279120171713945,0.19516416188954805,0.163413800383957,0.28805488065473067,0.09566377930521008,0.6772729153486736,0.5315059815416309,0.6931211789326271,0.811114830616553,0.704360427187488,0.6014484294621121,0.5525928450196884,0.12048040461358224,0.3422198639446478,0.2771210147449499,0.40226077159618173,0.2824087430637699,0.1805649255376332,0.07521839035399423,0.5591542337778255,0.7950004779714794,0.49120717674653813,0.4724014204693394,0.29950831856576665,0.20098264940724186
CD_4ft_FGA,-0.2930826596997055,0.8782417156137806,0.8013273483264551,0.3267068262700306,0.19893025918490223,0.8302836264758848,1.0,0.8073375034891813,0.4270938672396512,0.26396069840379405,0.21262792392100593,0.2513282636244703,0.2842194326296436,0.5673256047153228,0.7864972035512489,0.8353945719381229,0.7937367714517742,0.570259235204325,0.3289877279270703,0.12186615399104778,0.17774481622518595,0.29771538177391377,0.12735145193816022,0.5222383517776378,0.709975925965133,0.8535767565863142,0.9276471205405706,0.7982613881379503,0.7082105325780312,0.6753026755693926,0.09496884339752396,0.19561435398357213,0.22344557232900014,0.34949829635811297,0.24427883272442355,0.1172698776194785,0.06035255157913105,0.609168331246949,0.9029694604848901,0.6496110970944526,0.35677054918714785,0.31294314921155986,0.23638610991123807
CD_6ft_FGA,-0.2912547105337397,0.7916736575309935,0.8092794324049767,0.17427542357525233,-0.009699362196303433,0.5509157417736977,0.8073375034891813,1.0,0.6448168991629141,0.12532270524460082,-0.00678399555858588,0.01066989652662561,0.20640825088682252,0.5370098141034857,0.659150099798778,0.7582493025199287,0.7782577323798731,0.6064975368343849,0.09232708170885684,0.034066871825901276,0.13606248568352722,0.21612617943063625,0.09540864347592397,0.24695549239288048,0.8081143550952133,0.8695927936052072,0.8558896375187804,0.7543326047664127,0.6829401127164778,0.6719409902728288,0.02942534136281768,0.0034925581121065807,0.04930836463689531,0.13759977267886803,0.10485676413856457,0.04616462180363287,-0.017250619041689005,0.5910980168566293,0.8265310960933673,0.6555874642212072,0.10365144958417567,0.24894811020051766,0.1716207212653
CD_open_FGA,-0.20053969979494227,0.5963792113218026,0.48319618557850896,0.14213225857702438,-0.07220883920272435,0.3530368993176672,0.4270938672396512,0.6448168991629141,1.0,0.1314364070956955,0.10459507415974229,-0.0940557945852387,-0.01584633640150988,0.6881190211889809,0.5463227165065682,0.5348607104889157,0.34237513031128886,0.1517847101063778,0.026831983583567098,0.01964445613132814,0.04728268762794168,0.10986225583845523,-0.0330684855784938,0.2620989997573019,0.5081716012395153,0.573377246926049,0.6559040847919738,0.5897352979439047,0.4857813936035731,0.35608544159884287,0.02274409907587136,-0.004340979155548294,0.0034129108884606856,0.046022154161829774,0.04674077354338484,0.07905755642812137,-0.003941426941653416,0.7012996008618219,0.4940394881623434,0.20042749466609444,0.04355438499807385,0.15328874563498168,-0.004086864389261674
CD_2ft_FG_PCT,-0.14285348685584426,0.2799712243578559,0.13333398375332403,0.515059884982274,0.4011959528280538,0.3237456666986264,0.26396069840379405,0.12532270524460082,0.1314364070956955,1.0,0.4970553343901525,0.32885100868244965,0.2797866684387105,0.30751630599526225,0.2551638380438011,0.18822750472363328,0.09932925625042287,-0.0007422104350987906,0.5128354085867325,0.2505554067591219,0.37222336085492597,0.42131937015626936,0.09014753761094906,0.3412984916436204,0.13407487935268364,0.18775236557156533,0.25783381328972377,0.18759031111554259,0.19161510373551044,0.06214876790852771,0.2691672560898829,0.46470200414991636,0.4812989271303063,0.47813192958601664,0.39148924160223153,0.3118897609418054,0.16702878853847702,0.2898181949077251,0.19376845021115008,0.0366475174393959,0.5608678559090534,0.4139282392228662,0.1723055749226156
CD_4ft_FG_PCT,-0.1606793856675932,0.20142102115328878,0.06764758961731053,0.41719213699402313,0.616312978074399,0.3843441218686196,0.21262792392100593,-0.00678399555858588,0.10459507415974229,0.4970553343901525,1.0,0.4653032226188958,0.2591045995935876,0.3151191340887245,0.22382995892480853,0.12220770624599625,0.023005577174923433,-0.06959608694429018,0.6582514053164634,0.4097981080943612,0.2827783977616891,0.32308595650019145,0.13101273972212707,0.45418201023358606,0.03685293695741912,0.11114513107387099,0.2126539571616022,0.1664570434750743,0.12370403697597898,-0.004913125768653487,0.26937204043635066,0.6367964732705834,0.46267593075988456,0.6762862586752459,0.47935761312700165,0.35966144249635523,0.2576142354325576,0.2858495896109879,0.12356147296464405,-0.026854298370929078,0.6964902006516751,0.5002036623679043,0.08505028165286851
CD_6ft_FG_PCT,-0.15128592909105087,0.2013415554712458,0.03129266203628021,0.44466069909814554,0.6028255183233328,0.2960820105627221,0.2513282636244703,0.01066989652662561,-0.0940557945852387,0.32885100868244965,0.4653032226188958,1.0,0.3938858671195072,0.20117441236982467,0.188243134824184,0.06880456298845383,0.047470809479625974,0.014050178868316245,0.6810876684354481,0.30978541104885443,0.13072871836645544,0.3693426535185157,0.11232692902965066,0.4484424461471871,0.04891138286505309,0.10314419195739649,0.1648474504603309,0.09941277979830408,0.06344041558066325,0.02085139447601264,0.27797192406466853,0.4639251631890754,0.46285790602671184,0.7067578712514249,0.4245908408167686,0.2324122264709861,0.3091843217880505,0.19232439969218956,0.10487203148590712,0.03485154614736856,0.6825930177669408,0.3969341568416946,0.18817470139307446
CD_open_FG_PCT,-0.09351351740534267,0.26321919873251415,0.1315209787722255,0.42235529644333625,0.4057168338251544,0.22656025290022067,0.2842194326296436,0.20640825088682252,-0.01584633640150988,0.2797866684387105,0.2591045995935876,0.3938858671195072,1.0,0.26080420368740187,0.2286257077780289,0.12692628725285285,0.08737792661386334,0.07723233923791106,0.594863638230427,0.23569606851247413,0.052301622775898574,0.2719773249936004,0.08809515297503674,0.3797444344089655,0.1696284298567481,0.21038373972474086,0.2158749692994932,0.15360806509180175,0.12361790809072008,0.07761002522921297,0.24870471947400058,0.38878749150195224,0.4365101569812825,0.4987926783089327,0.352317710503364,0.23432174690819677,0.2134047268336349,0.27384094183707386,0.13881643566797083,0.08786737143216132,0.5898634795570611,0.25555768434103726,0.16458762315008343
Drib_0_FGA,-0.2905144959668435,0.6939633363726152,0.4027122869725593,0.3289624965997087,0.18702773548170595,0.5499115184107988,0.5673256047153228,0.5370098141034857,0.6881190211889809,0.30751630599526225,0.3151191340887245,0.20117441236982467,0.26080420368740187,1.0,0.7147519230652724,0.528196069303925,0.10594483179353306,-0.15431857722011336,0.3572199719062908,0.1691913178532634,0.05219524860228049,0.1361553562166566,0.05407646355457313,0.6925093925800179,0.37438871912425237,0.503718336284204,0.7197275551679831,0.5716306104012314,0.3608657630121018,0.25396144035075174,0.09295614316653342,0.26409773372421336,0.17023943824810772,0.3078932629844932,0.26353744413759306,0.22446364583223163,0.11317806061908127,0.9790979078068719,0.41480511656086977,-0.07212808599390406,0.40037904025245485,0.1497496208537861,0.03178534328877912
Drib_1_FGA,-0.20636544203153223,0.7995881482408107,0.6497587578015322,0.30153505753782517,0.1545311248802775,0.7489181351757654,0.7864972035512489,0.659150099798778,0.5463227165065682,0.2551638380438011,0.22382995892480853,0.188243134824184,0.2286257077780289,0.7147519230652724,1.0,0.8437095201061069,0.4565370517513523,0.11936049133905893,0.32723226137118944,0.1587677225062529,0.13368192041646254,0.22231126527342499,0.07896635682437007,0.5782947129873748,0.5260105888280748,0.6424486394802018,0.8451277999459837,0.731632642308019,0.55299482049155,0.5501821264963076,0.12096421831357637,0.22119277167656473,0.18295438868353814,0.27178429454710684,0.22189885404272558,0.11567741639190322,0.10086497814272606,0.7697836602907197,0.7666128605601017,0.21219761340894472,0.3557342969356631,0.25917917864959317,0.15968052416683506
Drib_2_FGA,-0.22062247894257667,0.7955971582361102,0.7474556606249545,0.2130624026378439,0.062442286595256545,0.7342414940535029,0.8353945719381229,0.7582493025199287,0.5348607104889157,0.18822750472363328,0.12220770624599625,0.06880456298845383,0.12692628725285285,0.528196069303925,0.8437095201061069,1.0,0.7089856928675057,0.33100733376074326,0.1946073104955718,0.06157506447057419,0.15391586071136915,0.2566265824446846,0.08453389301050158,0.37319627754423584,0.6316608676894657,0.7186648611621002,0.868267483841879,0.7817127364947667,0.6570059174470585,0.647531868926568,0.0663925324421196,0.1102878549118591,0.09451419265892239,0.17425773322335475,0.14353936076948906,0.08244710727776723,0.016023490069128763,0.5911348692193542,0.9161745155305172,0.41619525350407294,0.21109082584620517,0.25936117536668923,0.1852985215359337
Drib_3_FGA,-0.19347418177562903,0.6438956019559382,0.7813662811312738,0.13966659864765438,0.04782060817910276,0.6265633909502862,0.7937367714517742,0.7782577323798731,0.34237513031128886,0.09932925625042287,0.023005577174923433,0.047470809479625974,0.08737792661386334,0.10594483179353306,0.4565370517513523,0.7089856928675057,1.0,0.8177253164920749,0.0626109764326643,0.022914820382952016,0.1734746311044735,0.285810043278336,0.0854739145161309,0.10201594492155794,0.755262323925921,0.777854758279392,0.7072361438950234,0.669402314585778,0.7063092274650739,0.6890440158796051,0.03637711857899785,0.01663844271554542,0.08031521403325032,0.14296132787068033,0.08240458002594711,-0.007896306233109208,-0.023544460469004325,0.1670577905152175,0.8896848823202714,0.8626807012296334,0.06827636941415166,0.3117000634301102,0.23421347545704074
Drib_7_FGA,-0.1217498890136127,0.4225695706116754,0.5987799372861123,0.04880127918637403,-0.007457195737241169,0.40901970284590816,0.570259235204325,0.6064975368343849,0.1517847101063778,-0.0007422104350987906,-0.06959608694429018,0.014050178868316245,0.07723233923791106,-0.15431857722011336,0.11936049133905893,0.33100733376074326,0.8177253164920749,1.0,-0.01995666458047924,-0.047467321375317735,0.1319780695052396,0.17004630980800434,0.07070275359763614,-0.05595029094918725,0.5869741353102983,0.6706717386656444,0.4472639787006018,0.4193577905450318,0.5326247221352145,0.5513355876332021,-0.016919709817665118,-0.08466486534728897,0.06702386689722747,0.08513398242534212,-0.005664685673147358,-0.05680821867614623,-0.09801248369966165,-0.1140771435603534,0.5907596747760365,0.9858060118929493,-0.024155510000746068,0.19052706308175396,0.18811122008925152
Drib_0_FG_PCT,-0.18696107005996354,0.30729894100397775,0.11885285466795026,0.4985119095050559,0.6407720828128962,0.4279120171713945,0.3289877279270703,0.09232708170885684,0.026831983583567098,0.5128354085867325,0.6582514053164634,0.6810876684354481,0.594863638230427,0.3572199719062908,0.32723226137118944,0.1946073104955718,0.0626109764326643,-0.01995666458047924,1.0,0.24749894419767737,0.1393423888152887,0.28500187505055735,0.05970958296913853,0.5329894091746973,0.10761028112158562,0.17913253296526635,0.2794937658623351,0.22154941983456136,0.16447270001456366,0.08290009682752457,0.403547928312777,0.5772843399240817,0.5294788557210315,0.7355009110982608,0.46025116296671187,0.38384169397100604,0.2405987841087581,0.34656279270232143,0.1828483085777308,0.025902116478746563,0.9520597496782234,0.2837416480084878,0.12019592886188159
Drib_1_FG_PCT,-0.09939422920354563,0.13105550483646733,0.05887875448416358,0.2829736353495207,0.41359942409927614,0.19516416188954805,0.12186615399104778,0.034066871825901276,0.01964445613132814,0.2505554067591219,0.4097981080943612,0.30978541104885443,0.23569606851247413,0.1691913178532634,0.1587677225062529,0.06157506447057419,0.022914820382952016,-0.047467321375317735,0.24749894419767737,1.0,-0.021129806435647786,0.13857983644133243,0.07989350085702268,0.23378053633340778,0.05602983208022311,0.06771837624756086,0.11386606935092675,0.08726861287293959,0.04923439060941583,0.02174834691539213,0.179887896721503,0.3967356062149196,0.27586776812068753,0.3289823704109183,0.21880217325884332,0.07990173911888501,0.24764249575656475,0.1639533157829486,0.07158701023614622,-0.019107743601960034,0.40292195454675506,0.37769291112524883,0.0991162845594762
Drib_2_FG_PCT,-0.07130607792478269,0.12843805779543277,0.15436498216887623,0.32280467600987617,0.12374927458526296,0.163413800383957,0.17774481622518595,0.13606248568352722,0.04728268762794168,0.37222336085492597,0.2827783977616891,0.13072871836645544,0.052301622775898574,0.05219524860228049,0.13368192041646254,0.15391586071136915,0.1734746311044735,0.1319780695052396,0.1393423888152887,-0.021129806435647786,1.0,0.22988335917353028,0.09497789674057726,0.04930560709866407,0.13018675229857582,0.12005951154069006,0.1729101500015702,0.14182602176077896,0.14624437710056487,0.08228851429101348,0.10265503756014958,0.06013873541708101,0.21125811423911034,0.21822256487869346,0.2809853138835588,0.17593992878942222,0.08758811435766925,0.06804665987044911,0.17614285465033483,0.14227505655074293,0.15822912596491318,0.45232795295464073,0.11288113296494019
