,ENRL_ORIG_YR2_RT,SAT_AVG
2333,0.5125,1121.0
2335,0.3453815261,855.0
2337,0.7276422764,1305.0
2338,0.4848188051,1068.0
2342,0.6762468301,1235.0
2345,0.4564971751,1010.0
2352,0.2043991416,932.0
2357,PrivacySuppressed,967.0
2359,0.3610108303,1200.0
2361,0.3429121849,1038.0
2365,0.3060418812,982.0
2370,0.2543859649,998.0
2378,0.25,989.0
2379,0.4652777778,1098.0
2383,0.4731861199,1195.0
2386,0.4754385965,1106.0
2399,0.6854304636,1340.0
2419,0.5467980296,1101.0
2428,0.5992779783,1187.0
2432,0.7601476015,1370.0
2434,0.5255354201,1471.0
2437,0.3801652893,912.0
2441,0.64,1358.0
2442,0.5504978663,1422.0
2447,0.5275532697,1225.0
2450,0.3933110368,1100.0
2451,0.3287021349,1000.0
2452,0.4315750646,1110.0
2455,0.4572208738,1160.0
2456,0.3803596127,950.0
2459,0.3402959095,1020.0
2460,0.2184601113,838.0
2461,0.2560324578,937.0
2462,0.3836720392,1100.0
2465,0.3244867301,905.0
2467,0.3274478331,1047.0
2470,0.3882575758,899.0
2475,0.45,1060.0
2479,0.3247588424,894.0
2480,0.6237437186,1258.0
2486,0.704845815,1384.0
2487,0.415704388,1126.0
2492,0.479562464,1165.0
2493,0.4901315789,1113.0
2498,0.5609103079,1009.0
2505,PrivacySuppressed,1331.0
2510,0.3974082073,907.0
2511,0.5013333333,1080.0
2512,0.3165211769,921.0
2513,0.3165211769,974.0
2520,0.601010101,1090.0
2522,0.4657836645,1075.0
2523,0.1497175141,874.0
2527,0.3864628821,1053.0
2528,0.3097913323,865.0
2541,0.5104712042,1054.0
2544,0.3497757848,1006.0
2545,0.534351145,919.0
2550,0.3996925442,986.0
2551,0.4123989218,1131.0
2559,0.5506692161,1352.0
2561,0.4806924101,1038.0
2565,0.3770634231,1039.0
2566,0.3484848485,970.0
2567,0.3043478261,915.0
2572,0.429339065,1043.0
2573,0.3377308707,986.0
2576,0.5506692161,1303.0
2577,0.4025974026,928.0
2578,0.512864494,1140.0
2587,0.6710382514,1366.0
2589,0.3792372881,1046.0
2591,0.4367690058,1232.0
2592,0.6499477534,1353.0
2597,0.5229166667,1075.0
2598,0.3521594684,940.0
2599,PrivacySuppressed,1015.0
2602,0.3972222222,931.0
2607,0.599479844,1122.0
2609,0.6331168831,1247.0
2610,0.4298679868,1054.0
2615,0.4284077892,1095.0
2618,0.4386024423,1093.0
2622,0.1054263566,1090.0
2625,0.2365010799,975.0
2626,0.3251770766,969.0
2627,0.1374598071,930.0
2628,0.4491525424,1102.0
2629,0.5529513889,1297.0
2630,0.4736036725,1158.0
2631,0.524530787,1253.0
2632,0.4237288136,1155.0
2633,0.2826086957,1053.0
2634,0.4195316393,1069.0
2635,0.3902439024,975.0
2636,0.4510739857,1058.0
2637,0.4668489405,1056.0
2638,0.4956855225,1274.0
2639,0.4705102717,1129.0
2640,0.5228426396,1097.0
2641,0.4816915936,1110.0
2643,0.4587778855,1082.0
2645,0.4081081081,998.0
2646,0.4614878209,1026.0
2649,0.5843373494,1056.0
2652,0.6823214968,1158.0
2664,0.715942029,1313.0
2668,0.3509933775,946.0
2670,0.7575,1394.0
2672,0.4843049327,1020.0
2673,0.515970516,1154.0
2674,PrivacySuppressed,1435.0
2675,0.4113475177,1075.0
2686,0.456937799,1217.0
2692,0.572927242,1156.0
2694,0.3449197861,939.0
2696,0.3601532567,977.0
2700,0.2941176471,950.0
2703,0.137755102,998.0
2705,0.4339948231,1030.0
2709,0.2712418301,985.0
2714,0.2639296188,777.0
2719,0.6153846154,1353.0
2720,0.4273369992,1444.0
2722,0.5103510351,1050.0
2724,0.4336973479,849.0
2725,0.6092436975,1200.0
2728,0.3882807469,851.0
2730,0.3149425287,1018.0
2732,0.2466666667,891.0
2733,0.3597122302,1067.0
2738,0.5242966752,1087.0
2742,0.3742236025,826.0
2746,0.3509127789,976.0
2748,0.2760869565,723.0
2749,PrivacySuppressed,755.0
2750,0.2994241843,941.0
2755,0.4431554524,1040.0
2756,0.281512605,961.0
2763,0.387755102,950.0
2764,0.3502871206,915.0
2767,0.5014314928,902.0
2768,0.4567430025,1190.0
2769,0.6388996513,1313.0
2770,0.475712881,1066.0
2771,0.4468085106,1029.0
2772,0.4622641509,859.0
2773,0.6204819277,1105.0
2774,0.6062337662,1229.0
2775,0.3818181818,863.0
2776,0.4907201188,1154.0
2778,0.314893617,910.0
2779,0.3938024532,926.0
2780,0.2777777778,954.0
2781,0.3023255814,878.0
2784,0.3738656987,1058.0
2787,0.2857142857,853.0
2792,0.244732577,749.0
2793,0.4326018809,1110.0
2798,0.1959334566,964.0
2810,0.3728070175,1136.0
2816,0.4226190476,1013.0
2819,0.4018169113,889.0
2820,0.4349098001,1034.0
2823,0.176056338,965.0
2827,0.3620689655,1038.0
2831,0.3643659711,1046.0
2834,0.2821316614,1004.0
2836,0.4239086087,1090.0
2839,0.4864758918,1091.0
2846,0.25,967.0
2851,0.2990799938,1016.0
2857,0.4647887324,1009.0
2859,0.3991179713,1043.0
2862,0.1920903955,1070.0
2863,0.5031605563,1096.0
2865,0.3946587537,1027.0
2868,0.39527897,1009.0
2873,0.421957672,1102.0
2878,0.4676354029,1377.0
2879,0.568627451,1195.0
2882,0.2690677966,825.0
2885,0.1453488372,1011.0
2886,0.3658536585,989.0
2888,0.3975887293,1141.0
2892,0.2515506547,939.0
2895,0.5172413793,1060.0
2898,0.3234863995,1030.0
2901,0.5393939394,1035.0
2906,0.5931586608,1181.0
2907,0.3395225464,964.0
2908,0.7341772152,1285.0
2914,0.4201101928,1083.0
2918,0.1578947368,970.0
2924,0.4201030928,1030.0
2932,0.4867647059,1112.0
2941,0.3661024077,1048.0
2943,0.5792682927,1328.0
2944,0.3580645161,1002.0
2945,0.3373493976,983.0
2953,0.341543514,1046.0
2954,0.4868804665,1105.0
2961,0.4370186335,1240.0
2965,0.3241106719,1030.0
2966,0.5154109589,1050.0
2967,0.4144295302,1071.0
2968,0.4559819413,989.0
2970,0.3793103448,983.0
2978,0.2981818182,943.0
2981,0.683908046,1354.0
2984,0.3442622951,1028.0
2986,0.5700934579,1153.0
2996,0.418057211,1289.0
3001,0.3731142241,1104.0
3004,PrivacySuppressed,970.0
3005,0.5433526012,1123.0
3006,0.5228276878,1087.0
3032,0.487037037,1163.0
3037,0.1068459658,969.0
3038,0.3008438819,1031.0
3049,0.3828996283,1018.0
3052,0.4809384164,1047.0
3056,0.4,1006.0
3058,0.5176715177,1158.0
3059,0.5710455764,1231.0
3062,0.5310274669,1132.0
3066,0.1401515152,836.0
3067,0.2536585366,981.0
3074,0.3338200935,1030.0
3077,0.276533593,969.0
3082,0.1780821918,899.0
3087,0.2740776234,970.0
3091,0.2390243902,930.0
3093,0.3601895735,1124.0
3095,0.1636363636,890.0
3096,0.4193154034,1135.0
3098,0.3855421687,1098.0
3100,0.2831858407,1163.0
3101,0.4233830846,1176.0
3104,0.2759103641,1037.0
3107,0.2114164905,950.0
3111,0.2534246575,990.0
3114,0.247582205,950.0
3115,0.238961039,963.0
3116,0.2798690671,990.0
3119,0.4947368421,1279.0
3137,0.2888015717,993.0
3140,0.2296943231,935.0
3143,0.4590163934,1070.0
3147,0.5748218527,1279.0
3148,0.3896457766,1090.0
3156,0.3209876543,1104.0
3159,0.3445945946,974.0
3161,0.342015855,1025.0
3163,0.4353588907,1102.0
3164,0.3940609952,1108.0
3166,0.4849187935,1102.0
3173,0.3791307471,1045.0
3174,0.5863141524,1195.0
3175,0.6703910615,1371.0
3180,0.3174010456,1020.0
3185,0.3775811209,1067.0
3189,0.5236966825,1198.0
3190,0.4026229508,950.0
3195,0.4025974026,1028.0
3197,0.450488145,1033.0
3200,0.6381156317,1182.0
3202,0.4500745156,1069.0
3204,0.4488549618,976.0
3212,0.3588709677,1016.0
3214,0.4466769706,1095.0
3217,0.4937611408,990.0
3219,0.555984556,1334.0
3220,0.6757990868,1306.0
3225,0.4261904762,896.0
3226,0.4019277108,964.0
3229,0.3946188341,946.0
3230,0.4513172967,1432.0
3231,0.4361445783,948.0
3234,0.3538732394,960.0
3238,0.4039190898,915.0
3245,0.4474708171,1005.0
3246,0.7343283582,1285.0
3249,0.4995727713,1197.0
3252,0.6125198098,1122.0
3253,0.4022222222,946.0
3254,0.3679458239,1041.0
3255,0.4788076386,930.0
3256,0.5373406193,1117.0
3274,PrivacySuppressed,995.0
3276,0.5493150685,1050.0
3277,0.3834422658,1070.0
3278,0.6856492027,1282.0
3283,0.2249240122,944.0
3286,0.6806722689,1400.0
3288,0.4748700173,933.0
3291,0.4416666667,943.0
3292,0.4965947787,973.0
3296,PrivacySuppressed,1018.0
3298,0.3187613843,901.0
3302,0.473871734,959.0
3303,0.4,931.0
3304,0.4801619433,996.0
3306,0.749244713,1283.0
3307,0.3706070288,982.0
3312,0.5505376344,1112.0
3315,0.7289855072,1322.0
3319,0.3625218914,853.0
3320,0.4822266935,937.0
3321,PrivacySuppressed,930.0
3325,0.56,1047.0
3327,0.1741424802,830.0
3328,0.4073647871,964.0
3329,0.5212947189,1050.0
3332,0.3155949741,1064.0
3333,0.6219135802,1154.0
3335,0.4710743802,1014.0
3336,0.5338842975,1057.0
3338,0.4513888889,982.0
3340,0.1965811966,915.0
3341,0.6458333333,1246.0
3343,0.4657894737,861.0
3351,0.4817607004,1052.0
3354,0.4817607004,991.0
3355,0.4817607004,889.0
3356,0.4817607004,995.0
3357,0.4817607004,941.0
3358,0.4817607004,1004.0
3359,0.4817607004,990.0
3360,0.4817607004,955.0
3361,0.4817607004,988.0
3362,0.4817607004,1027.0
3363,0.4817607004,968.0
3364,0.4817607004,951.0
3365,0.4817607004,940.0
3366,0.4817607004,948.0
3367,0.4817607004,1199.0
3368,0.4817607004,957.0
3369,0.4817607004,960.0
3370,0.4817607004,942.0
3371,0.4817607004,850.0
3372,0.4817607004,984.0
3383,0.6572379368,1442.0
3384,0.5311720698,1062.0
3385,0.5,1010.0
3386,0.4262948207,1008.0
3388,0.5965665236,1165.0
3390,0.5238274628,973.0
3391,0.5238274628,1017.0
3392,0.5238274628,1021.0
3393,0.5238274628,1258.0
3394,0.5238274628,878.0
3401,0.3557237465,997.0
3405,0.2215189873,957.0
3410,0.4718693285,1041.0
3412,0.48125,927.0
3413,0.5223214286,1026.0
3414,0.5991425509,1110.0
3415,0.520295203,1035.0
3418,0.6454054054,1121.0
3419,0.4238410596,1032.0
3420,PrivacySuppressed,930.0
3423,0.4237551867,980.0
3424,0.5221033039,1002.0
3430,0.5689320388,1129.0
3431,0.7100591716,1442.0
3434,0.5609038848,1121.0
3435,0.4731934732,967.0
3443,0.6596385542,1182.0
3444,0.4210526316,977.0
3445,PrivacySuppressed,913.0
3447,0.7142857143,1316.0
3451,0.4552683897,1015.0
3453,0.5285939968,1105.0
3456,0.5436046512,1040.0
3459,0.3958974359,1025.0
3460,0.4731343284,1060.0
3461,0.3227848101,993.0
3463,0.4627092846,1045.0
3467,0.5579268293,1425.0
3468,0.5677419355,1137.0
3474,0.6959553696,1158.0
3475,0.4696601942,930.0
3477,0.5661427636,1076.0
3478,0.5267857143,1239.0
3480,0.6146245059,1109.0
3486,0.4090909091,1079.0
3487,0.2867132867,973.0
3490,0.4717285945,1070.0
3491,0.3215077605,916.0
3493,0.4812967581,1165.0
3496,0.4816849817,1080.0
3497,0.4204545455,873.0
3498,0.5362264151,1259.0
3500,0.380952381,956.0
3501,0.4468085106,1055.0
3502,0.4005681818,1027.0
3503,0.45,1072.0
3505,0.3916083916,1010.0
3508,0.3374175306,938.0
3509,0.525606469,1237.0
3514,0.3416009019,945.0
3515,0.1862845445,1010.0
3520,0.4465408805,938.0
3521,0.4468864469,1137.0
3524,0.4736842105,1121.0
3525,0.3678571429,973.0
3526,0.2294022617,932.0
3527,0.4948261589,1200.0
3528,0.4948261589,865.0
3529,0.0564516129,789.0
3530,0.0489296636,927.0
3531,0.0658682635,826.0
3532,0.3740544629,993.0
3533,0.3745551601,851.0
3534,0.3148854962,982.0
3536,PrivacySuppressed,859.0
3544,0.4421824104,1030.0
3545,0.6225680934,1186.0
3547,0.6303797468,1105.0
3549,0.2894995093,993.0
3551,0.3028169014,1010.0
3552,0.3540856031,1058.0
3557,0.3891402715,1050.0
3561,0.3395522388,1030.0
3563,0.2736842105,934.0
3565,0.5183486239,1183.0
3566,0.4486445208,1050.0
3568,0.3402985075,1064.0
3573,0.3522554486,1090.0
3576,0.2032967033,1115.0
3579,0.3130923131,1009.0
3580,0.606557377,1125.0
3581,0.4536950421,1193.0
3582,0.3060402685,930.0
3583,0.3430493274,1053.0
3584,0.3572938689,1064.0
3586,0.4074074074,1105.0
3588,0.0891621829,910.0
3592,0.3108433735,986.0
3593,0.3373655914,1149.0
3597,0.3537007874,1026.0
3602,0.4881889764,854.0
3604,0.3887530562,1098.0
3607,PrivacySuppressed,863.0
3612,0.458781362,1022.0
3614,0.3002610966,1039.0
3617,0.2573248408,716.0
3618,0.1975051975,760.0
3619,0.376987131,1094.0
3620,0.2363636364,1054.0
3623,0.4736842105,1068.0
3627,0.4476190476,1030.0
3629,0.3997842503,1031.0
3632,0.3872914448,1011.0
3634,0.4139194139,1096.0
3636,0.0782414307,910.0
3642,0.4615384615,1050.0
3646,0.6300940439,1288.0
3648,0.1311893823,910.0
3650,0.0975609756,756.0
3652,0.5688888889,1248.0
3660,0.3699421965,1050.0
3662,0.2817337461,1006.0
3663,0.3839212469,1069.0
3664,0.4694275274,1199.0
3665,0.420332937,1050.0
3669,0.3586237318,1071.0
3670,0.1368821293,878.0
3671,0.3114754098,1049.0
3673,0.2771285476,961.0
3674,0.4008264463,1174.0
3676,0.5688350983,1475.0
3682,0.5184659091,1087.0
3688,0.2933011467,965.0
3692,0.4512635379,1181.0
3700,0.4390756303,1215.0
3714,0.2742230347,1035.0
3717,0.3745551601,960.0
3720,0.3583617747,1078.0
3721,0.2113821138,930.0
3724,0.4965753425,1216.0
3727,0.2170900693,957.0
3728,0.1968085106,993.0
3729,0.2974434612,987.0
3742,0.3953974895,1035.0
3745,0.3552397869,1075.0
3748,0.2854319593,894.0
3749,0.2448233861,903.0
3750,0.4122843921,1136.0
3752,0.3363914373,953.0
3753,0.2109375,780.0
3754,0.4083424808,967.0
3763,0.3040166205,974.0
3768,0.4015416959,892.0
3770,0.3550295858,1175.0
3773,0.2756756757,1010.0
3775,0.3120728929,1069.0
3777,0.2895927602,982.0
3781,0.3574468085,993.0
3792,0.4154286493,1100.0
3794,0.3353090601,924.0
3800,0.224852071,882.0
3801,0.4397930386,937.0
3805,0.1964285714,775.0
3806,0.3755314124,845.0
3809,0.5785123967,1454.0
3812,0.3889468196,1117.0
3814,0.4276315789,1121.0
3815,0.4182223461,999.0
3818,0.3363636364,995.0
3820,0.4190193165,1050.0
3826,0.5807743658,1302.0
3831,0.4163424125,1168.0
3832,0.3472868217,998.0
3833,0.4376108811,1045.0
3834,0.2571428571,949.0
3836,0.2596153846,865.0
3837,0.31712,984.0
3845,0.2762393162,895.0
3846,0.5153354633,1182.0
3847,0.3244865297,1077.0
3848,0.5302732631,1262.0
3849,0.3857356236,1262.0
3850,0.3813275556,923.0
3851,0.2709008425,1064.0
3853,0.4397339983,1206.0
3856,0.3962264151,1041.0
3857,0.3107947805,1008.0
3858,0.3887448528,1050.0
3860,0.2923351159,832.0
3861,0.4311239193,1116.0
3863,0.2058212058,997.0
3864,0.2897262709,953.0
3865,0.4012158055,1270.0
3877,0.24556423,940.0
3879,0.3443708609,994.0
3885,0.5167016606,1277.0
3886,0.2907407407,1081.0
3902,0.3013157895,1066.0
3906,0.305931657,1087.0
3909,0.4313846154,1109.0
3911,0.3840947547,1134.0
3914,0.3739424704,954.0
3915,0.477093207,1122.0
3919,0.354969574,948.0
3920,0.4207317073,930.0
3922,0.67578125,1391.0
3924,0.4852941176,1065.0
3926,0.6083916084,1173.0
3928,0.2692307692,842.0
3929,0.3153153153,883.0
3932,0.1292775665,933.0
3933,0.5453187251,1190.0
3936,0.3399280576,941.0
3938,0.2398989899,900.0
3939,0.4818181818,1033.0
3940,0.6031746032,1358.0
3941,0.2921914358,1067.0
3944,0.5723684211,1161.0
3948,0.2941176471,963.0
3953,0.4336917563,1004.0
3954,0.4243323442,999.0
3956,0.2975460123,868.0
3957,0.5256805342,1155.0
3959,0.5043859649,1113.0
3960,0.4908350305,990.0
3961,0.4263157895,1099.0
3963,0.6432748538,1149.0
3966,0.2754693306,1030.0
3967,0.544768069,1002.0
3969,0.4476923077,1002.0
3971,0.4004065041,959.0
3972,0.4428754814,1110.0
3973,0.3718518519,1030.0
3980,0.3894500561,879.0
3982,0.4590565198,1016.0
3988,0.4419542806,980.0
3990,0.5694050992,1082.0
3991,0.3710691824,1094.0
3994,0.0711382114,837.0
3996,0.5756385069,1313.0
3998,0.5578583765,1086.0
4000,0.3463917526,1016.0
4001,0.1666666667,1015.0
4007,0.375,1084.0
4011,0.3566739606,949.0
4013,PrivacySuppressed,928.0
4014,0.6304604486,1220.0
4016,0.503908726,1102.0
4017,0.6476923077,1362.0
4018,0.5662251656,1141.0
4021,0.3851351351,811.0
4022,0.2568807339,750.0
4023,0.4117647059,1021.0
4025,0.7127659574,1392.0
4038,0.44881589,986.0
4047,0.4274640089,970.0
4051,0.3236009732,1081.0
4054,0.5461801596,1204.0
4069,0.3137254902,898.0
4074,0.3588110403,1079.0
4077,0.5371120108,1112.0
4079,0.3711340206,1233.0
4081,0.4180327869,1057.0
4085,0.5161290323,1145.0
4086,0.5,1175.0
4095,0.41,1072.0
4096,0.4699424046,1030.0
4097,0.477776057,1234.0
4100,0.5284195086,1114.0
4102,0.6037735849,1327.0
4105,0.3507853403,989.0
4107,0.2903225806,1026.0
4110,0.3766233766,936.0
4111,0.1455160745,905.0
4114,0.3107142857,991.0
4116,0.3279569892,980.0
4117,0.2862745098,945.0
4118,0.3073263559,965.0
4119,0.2642857143,879.0
4124,0.3806212332,1022.0
4132,0.2602040816,971.0
4137,0.3476482618,1007.0
4141,0.2756933116,942.0
4142,PrivacySuppressed,1017.0
4143,0.3273231623,984.0
4144,0.4084989719,990.0
4145,0.3460490463,1021.0
4151,0.4084989719,1062.0
4152,0.4086021505,1023.0
4156,0.4721115538,950.0
4158,0.0970873786,1070.0
4159,0.7124463519,1227.0
4161,0.3077803204,1027.0
4162,0.4909090909,1090.0
4163,0.4471544715,1105.0
4165,0.354017502,1049.0
4166,0.3984375,1050.0
4172,0.4139534884,1007.0
4175,0.3261802575,1061.0
4176,0.4220907298,950.0
4177,0.5585964912,1217.0
4183,0.5381604697,1244.0
4185,0.238267148,957.0
4191,0.4583333333,1105.0
4192,0.5801886792,1130.0
4194,0.5255198488,1125.0
4195,0.3274336283,950.0
4199,0.0746760378,970.0
4200,0.4168039539,1090.0
4204,0.5218476904,1030.0
4208,0.5447545717,1110.0
4209,0.3789868668,1070.0
4210,0.5657826313,1130.0
4211,0.5414012739,1097.0
4212,0.4367458155,1030.0
4213,0.3259911894,990.0
4215,0.4470046083,1030.0
4216,0.3342696629,1010.0
4217,0.6206896552,1268.0
4218,0.4067826705,1030.0
4219,0.4668604651,1050.0
4220,0.4513096038,1030.0
4221,0.4858188472,1070.0
4231,0.3849416755,1123.0
4290,0.3590963139,1038.0
4293,0.3885034688,1029.0
4294,0.4919852035,1094.0
4300,0.5902912621,1195.0
4312,0.2979452055,807.0
4313,0.7394136808,1466.0
4314,0.5151515152,1211.0
4442,0.3815028902,1283.0
4534,0.4969781497,966.0
4694,0.477776057,1014.0
4695,0.477776057,963.0
4813,0.3365384615,971.0
4828,0.8412698413,1213.0
4890,0.4271195689,1073.0
4941,0.4249471459,976.0
5153,0.4271195689,1106.0
5271,PrivacySuppressed,940.0
5308,0.4379200566,1024.0
5378,0.5651024455,1015.0
5379,0.5651024455,1020.0
5380,0.5651024455,1017.0
5536,0.5376320897,878.0
5584,0.4642857143,954.0
5588,0.756097561,1475.0
5608,0.1513647643,955.0
5665,0.4857142857,1225.0
5779,0.5761494253,1010.0
5813,0.2877697842,1104.0
5838,0.2904290429,1070.0
6029,0.4513633014,1070.0
6031,0.4271195689,1085.0
6088,PrivacySuppressed,1070.0
6233,0.4513633014,1079.0
6289,0.3511904762,1160.0
6498,0.4837931034,1149.0
6917,0.2765957447,1069.0
7185,0.4817607004,968.0
7322,0.1654501217,1002.0
7370,0.3547368421,1009.0
7381,0.4271195689,898.0
